symbol,ins,anchor,target,policy
شپاکسا,11622051128546106,20260907,20260909,exact
شپاکسا,11622051128546106,20260914,20260916,exact
شپاکسا,11622051128546106,20260921,20260923,exact
وبملت,778253364357513,20260907,20260909,exact
وبملت,778253364357513,20260914,20260916,exact
وبملت,778253364357513,20260921,20260923,exact
فولاد,46348559193224090,20260907,20260909,exact
فولاد,46348559193224090,20260914,20260916,exact
فولاد,46348559193224090,20260921,20260923,exact
خودرو,65883838195688438,20260907,20260909,exact
خودرو,65883838195688438,20260914,20260916,exact
خودرو,65883838195688438,20260921,20260923,exact
دعبید,49054891736433700,20260907,20260909,exact
دعبید,49054891736433700,20260914,20260916,exact
دعبید,49054891736433700,20260921,20260923,exact
شپنا,7745894403636165,20260907,20260909,exact
شپنا,7745894403636165,20260914,20260916,exact
شپنا,7745894403636165,20260921,20260923,exact
کگل,35700344742885862,20260907,20260909,exact
کگل,35700344742885862,20260914,20260916,exact
کگل,35700344742885862,20260921,20260923,exact
اخابر,22811176775480091,20260907,20260909,exact
اخابر,22811176775480091,20260914,20260916,exact
اخابر,22811176775480091,20260921,20260923,exact
حکشتی,60610861509165508,20260907,20260909,exact
حکشتی,60610861509165508,20260914,20260916,exact
حکشتی,60610861509165508,20260921,20260923,exact
شستا,2400322364771558,20260907,20260909,exact
شستا,2400322364771558,20260914,20260916,exact
شستا,2400322364771558,20260921,20260923,exact
نان,8000351713789858,20260907,20260909,exact
نان,8000351713789858,20260914,20260916,exact
نان,8000351713789858,20260921,20260923,exact
خراسان,43552974795606067,20260907,20260909,exact
خراسان,43552974795606067,20260914,20260916,exact
خراسان,43552974795606067,20260921,20260923,exact
بزندگی,4341085373810698,20260907,20260909,exact
بزندگی,4341085373810698,20260914,20260916,exact
بزندگی,4341085373810698,20260921,20260923,exact
گکوثر,66599109405217136,20260907,20260909,exact
گکوثر,66599109405217136,20260914,20260916,exact
گکوثر,66599109405217136,20260921,20260923,exact
اوان,69847139870135237,20260907,20260909,exact
اوان,69847139870135237,20260914,20260916,exact
اوان,69847139870135237,20260921,20260923,exact
غمارگ,21501758781665781,20260907,20260909,exact
غمارگ,21501758781665781,20260914,20260916,exact
غمارگ,21501758781665781,20260921,20260923,exact
ودانا,66424163876658304,20260907,20260909,exact
ودانا,66424163876658304,20260914,20260916,exact
ودانا,66424163876658304,20260921,20260923,exact
کرمان,50792786683910016,20260907,20260909,exact
کرمان,50792786683910016,20260914,20260916,exact
کرمان,50792786683910016,20260921,20260923,exact
ثغرب,17939384202383793,20260907,20260909,exact
ثغرب,17939384202383793,20260914,20260916,exact
ثغرب,17939384202383793,20260921,20260923,exact
سپامهر,16386164516275084,20260907,20260909,exact
سپامهر,16386164516275084,20260914,20260916,exact
سپامهر,16386164516275084,20260921,20260923,exact
آسیا,51106317433079213,20260907,20260909,exact
آسیا,51106317433079213,20260914,20260916,exact
آسیا,51106317433079213,20260921,20260923,exact
زدشت,25180702353416009,20260907,20260909,exact
زدشت,25180702353416009,20260914,20260916,exact
زدشت,25180702353416009,20260921,20260923,exact
وثخوز,40043919653526083,20260907,20260909,exact
وثخوز,40043919653526083,20260914,20260916,exact
وثخوز,40043919653526083,20260921,20260923,exact
ویسا,69472361926040823,20260907,20260909,exact
ویسا,69472361926040823,20260914,20260916,exact
ویسا,69472361926040823,20260921,20260923,exact
خفنر,28033133021443774,20260907,20260909,exact
خفنر,28033133021443774,20260914,20260916,exact
خفنر,28033133021443774,20260921,20260923,exact
ثپردیس,53999651992586159,20260907,20260909,exact
ثپردیس,53999651992586159,20260914,20260916,exact
ثپردیس,53999651992586159,20260921,20260923,exact
سهگمت,41284516796232939,20260907,20260909,exact
سهگمت,41284516796232939,20260914,20260916,exact
سهگمت,41284516796232939,20260921,20260923,exact
وسکاب,11258722998911897,20260907,20260909,exact
وسکاب,11258722998911897,20260914,20260916,exact
وسکاب,11258722998911897,20260921,20260923,exact
زفکا,5427792638736934,20260907,20260909,exact
زفکا,5427792638736934,20260914,20260916,exact
زفکا,5427792638736934,20260921,20260923,exact
آردینه,9956888831468521,20260907,20260909,exact
آردینه,9956888831468521,20260914,20260916,exact
آردینه,9956888831468521,20260921,20260923,exact
